CensusArea,Age,Population
0801908045,20-24,106
0801908045,25-29,135
0801908045,30-34,148
0801908045,35-39,122
0801908045,40-44,154
0801908045,45-49,132
0801908045,50-54,119
0801908045,55-59,118
0801908045,60-64,138
0801908045,65-69,93
0801908045,70-74,52
0801908045,75-79,44
0801908045,80-84,19
0801908045,85-89,51
0801908045,90-94,28
0801908045,95-99,7
0801908045,100,0
0801908046,0-4,54
0801908046,5-9,65
0801908046,10-14,56
0801908046,15-19,63
0801908046,20-24,82
0801908046,25-29,109
0801908046,30-34,119
0801908046,35-39,95
0801908046,40-44,113
0801908046,45-49,123
0801908046,50-54,111
0801908046,55-59,100
0801908046,60-64,102
0801908046,65-69,53
0801908046,70-74,26
0801908046,75-79,28
0801908046,80-84,44
0801908046,85-89,86
0801908046,90-94,40
0801908046,95-99,9
0801908046,100,0
0801908047,0-4,70
0801908047,5-9,86
0801908047,10-14,93
0801908047,15-19,78
0801908047,20-24,89
0801908047,25-29,122
0801908047,30-34,134
0801908047,35-39,145
0801908047,40-44,138
0801908047,45-49,110
0801908047,50-54,98
0801908047,55-59,110
0801908047,60-64,99
0801908047,65-69,61
0801908047,70-74,43
0801908047,75-79,27
0801908047,80-84,23
0801908047,85-89,61
0801908047,90-94,43
0801908047,95-99,15
0801908047,100,1
0801908048,0-4,34
0801908048,5-9,38
0801908048,10-14,53
0801908048,15-19,52
0801908048,20-24,52
0801908048,25-29,57
0801908048,30-34,64
0801908048,35-39,37
0801908048,40-44,64
0801908048,45-49,59
0801908048,50-54,67
0801908048,55-59,80
0801908048,60-64,87
0801908048,65-69,56
0801908048,70-74,51
0801908048,75-79,36
0801908048,80-84,28
0801908048,85-89,31
0801908048,90-94,17
0801908048,95-99,3
0801908048,100,1
0801908049,0-4,25
0801908049,5-9,41
0801908049,10-14,82
0801908049,15-19,61
0801908049,20-24,61
0801908049,25-29,58
0801908049,30-34,75
0801908049,35-39,75
0801908049,40-44,87
0801908049,45-49,89
0801908049,50-54,98
0801908049,55-59,107
0801908049,60-64,81
0801908049,65-69,57
0801908049,70-74,45
0801908049,75-79,48
0801908049,80-84,51
0801908049,85-89,40
0801908049,90-94,22
0801908049,95-99,6
0801908049,100,0
0801908050,0-4,37
0801908050,5-9,69
0801908050,10-14,41
0801908050,15-19,44
0801908050,20-24,52
0801908050,25-29,58
0801908050,30-34,70
0801908050,35-39,80
0801908050,40-44,91
0801908050,45-49,94
0801908050,50-54,77
0801908050,55-59,85
0801908050,60-64,100
0801908050,65-69,95
0801908050,70-74,132
0801908050,75-79,123
0801908050,80-84,53
0801908050,85-89,38
0801908050,90-94,17
0801908050,95-99,4
0801908050,100,1
0801908051,0-4,35
0801908051,5-9,56
0801908051,10-14,107
0801908051,15-19,109
0801908051,20-24,57
0801908051,25-29,37
0801908051,30-34,40
0801908051,35-39,53
0801908051,40-44,102
0801908051,45-49,179
0801908051,50-54,144
0801908051,55-59,100
0801908051,60-64,64
0801908051,65-69,46
0801908051,70-74,50
0801908051,75-79,80
0801908051,80-84,58
0801908051,85-89,24
0801908051,90-94,6
0801908051,95-99,1
0801908051,100,0
0801908052,0-4,36
0801908052,5-9,32
0801908052,10-14,32
0801908052,15-19,31
0801908052,20-24,29
0801908052,25-29,44
0801908052,30-34,57
0801908052,35-39,46
0801908052,40-44,61
0801908052,45-49,73
0801908052,50-54,66
0801908052,55-59,62
0801908052,60-64,56
0801908052,65-69,33
0801908052,70-74,37
0801908052,75-79,86
0801908052,80-84,35
0801908052,85-89,31
0801908052,90-94,16
0801908052,95-99,0
0801908052,100,0
0801908053,0-4,31
0801908053,5-9,37
0801908053,10-14,53
0801908053,15-19,56
0801908053,20-24,47
0801908053,25-29,52
0801908053,30-34,44
0801908053,35-39,49
0801908053,40-44,77
0801908053,45-49,99
0801908053,50-54,90
0801908053,55-59,79
0801908053,60-64,64
0801908053,65-69,35
0801908053,70-74,67
0801908053,75-79,87
0801908053,80-84,92
0801908053,85-89,51
0801908053,90-94,16
0801908053,95-99,8
0801908053,100,0
0801908054,0-4,39
0801908054,5-9,55
0801908054,10-14,55
0801908054,15-19,80
0801908054,20-24,87
0801908054,25-29,85
0801908054,30-34,76
0801908054,35-39,91
0801908054,40-44,86
0801908054,45-49,128
0801908054,50-54,134
0801908054,55-59,145
0801908054,60-64,86
0801908054,65-69,68
0801908054,70-74,68
0801908054,75-79,133
0801908054,80-84,113
0801908054,85-89,76
0801908054,90-94,32
0801908054,95-99,6
0801908054,100,1
0801908055,0-4,51
0801908055,5-9,61
0801908055,10-14,68
0801908055,15-19,72
0801908055,20-24,77
0801908055,25-29,65
0801908055,30-34,59
0801908055,35-39,99
0801908055,40-44,99
0801908055,45-49,104
0801908055,50-54,108
0801908055,55-59,125
0801908055,60-64,95
0801908055,65-69,159
0801908055,70-74,205
0801908055,75-79,167
0801908055,80-84,85
0801908055,85-89,68
0801908055,90-94,17
0801908055,95-99,9
0801908055,100,0
0801908056,0-4,44
0801908056,5-9,46
0801908056,10-14,73
0801908056,15-19,71
0801908056,20-24,86
0801908056,25-29,94
0801908056,30-34,79
0801908056,35-39,90
0801908056,40-44,106
0801908056,45-49,102
0801908056,50-54,122
0801908056,55-59,135
0801908056,60-64,114
0801908056,65-69,66
0801908056,70-74,44
0801908056,75-79,63
0801908056,80-84,60
0801908056,85-89,93
0801908056,90-94,39
0801908056,95-99,6
0801908056,100,0
0801908057,0-4,39
0801908057,5-9,40
0801908057,10-14,44
0801908057,15-19,73
0801908057,20-24,74
0801908057,25-29,68
0801908057,30-34,90
0801908057,35-39,71
0801908057,40-44,75
0801908057,45-49,84
0801908057,50-54,112
0801908057,55-59,116
0801908057,60-64,81
0801908057,65-69,63
0801908057,70-74,52
0801908057,75-79,38
0801908057,80-84,51
0801908057,85-89,95
0801908057,90-94,38
0801908057,95-99,5
0801908057,100,0
0801908058,0-4,42
0801908058,5-9,62
0801908058,10-14,73
0801908058,15-19,85
0801908058,20-24,94
0801908058,25-29,113
0801908058,30-34,118
0801908058,35-39,109
0801908058,40-44,104
0801908058,45-49,114
0801908058,50-54,139
0801908058,55-59,133
0801908058,60-64,119
0801908058,65-69,66
0801908058,70-74,55
0801908058,75-79,70
0801908058,80-84,58
0801908058,85-89,70
0801908058,90-94,30
0801908058,95-99,7
0801908058,100,1
0801908059,0-4,30
0801908059,5-9,35
0801908059,10-14,54
0801908059,15-19,46
0801908059,20-24,59
0801908059,25-29,47
0801908059,30-34,60
0801908059,35-39,61
0801908059,40-44,75
0801908059,45-49,88
0801908059,50-54,94
0801908059,55-59,89
0801908059,60-64,67
0801908059,65-69,55
0801908059,70-74,35
0801908059,75-79,35
0801908059,80-84,33
0801908059,85-89,45
0801908059,90-94,16
0801908059,95-99,4
0801908059,100,0
0801908060,0-4,29
0801908060,5-9,48
0801908060,10-14,44
0801908060,15-19,57
0801908060,20-24,38
0801908060,25-29,64
0801908060,30-34,65
0801908060,35-39,58
0801908060,40-44,87
0801908060,45-49,78
0801908060,50-54,83
0801908060,55-59,67
0801908060,60-64,78
0801908060,65-69,110
0801908060,70-74,96
0801908060,75-79,82
0801908060,80-84,51
0801908060,85-89,36
0801908060,90-94,12
0801908060,95-99,2
0801908060,100,0
0801908061,0-4,35
0801908061,5-9,66
0801908061,10-14,76
0801908061,15-19,68
0801908061,20-24,90
0801908061,25-29,70
0801908061,30-34,72
0801908061,35-39,83
0801908061,40-44,114
0801908061,45-49,133
0801908061,50-54,146
0801908061,55-59,125
0801908061,60-64,97
0801908061,65-69,105
0801908061,70-74,110
0801908061,75-79,89
0801908061,80-84,55
0801908061,85-89,48
0801908061,90-94,26
0801908061,95-99,4
0801908061,100,0
0801908062,0-4,22
0801908062,5-9,26
0801908062,10-14,36
0801908062,15-19,48
0801908062,20-24,55
0801908062,25-29,56
0801908062,30-34,52
0801908062,35-39,58
0801908062,40-44,76
0801908062,45-49,57
0801908062,50-54,89
0801908062,55-59,75
0801908062,60-64,85
0801908062,65-69,127
0801908062,70-74,89
0801908062,75-79,86
0801908062,80-84,48
0801908062,85-89,24
0801908062,90-94,17
0801908062,95-99,2
0801908062,100,0
0801908063,0-4,16
0801908063,5-9,32
0801908063,10-14,38
0801908063,15-19,48
0801908063,20-24,45
0801908063,25-29,39
0801908063,30-34,42
0801908063,35-39,40
0801908063,40-44,58
0801908063,45-49,63
0801908063,50-54,67
0801908063,55-59,66
0801908063,60-64,66
0801908063,65-69,140
0801908063,70-74,110
0801908063,75-79,95
0801908063,80-84,51
0801908063,85-89,27
0801908063,90-94,16
0801908063,95-99,2
0801908063,100,0
0801908064,0-4,53
0801908064,5-9,92
0801908064,10-14,77
0801908064,15-19,84
0801908064,20-24,90
0801908064,25-29,99
0801908064,30-34,106
0801908064,35-39,103
0801908064,40-44,133
0801908064,45-49,137
0801908064,50-54,125
0801908064,55-59,144
0801908064,60-64,125
0801908064,65-69,114
0801908064,70-74,93
0801908064,75-79,94
0801908064,80-84,58
0801908064,85-89,39
0801908064,90-94,25
0801908064,95-99,6
0801908064,100,0
0801908065,0-4,95
0801908065,5-9,97
0801908065,10-14,120
0801908065,15-19,99
0801908065,20-24,116
0801908065,25-29,107
0801908065,30-34,140
0801908065,35-39,145
0801908065,40-44,149
0801908065,45-49,148
0801908065,50-54,129
0801908065,55-59,120
0801908065,60-64,81
0801908065,65-69,57
0801908065,70-74,56
0801908065,75-79,39
0801908065,80-84,31
0801908065,85-89,21
0801908065,90-94,10
0801908065,95-99,1
0801908065,100,0
0801908066,0-4,67
0801908066,5-9,92
0801908066,10-14,101
0801908066,15-19,99
0801908066,20-24,106
0801908066,25-29,132
0801908066,30-34,127
0801908066,35-39,104
0801908066,40-44,125
0801908066,45-49,116
0801908066,50-54,115
0801908066,55-59,112
0801908066,60-64,85
0801908066,65-69,68
0801908066,70-74,54
0801908066,75-79,48
0801908066,80-84,32
0801908066,85-89,20
0801908066,90-94,7
0801908066,95-99,0
0801908066,100,0
0801908067,0-4,67
0801908067,5-9,79
0801908067,10-14,104
0801908067,15-19,101
0801908067,20-24,116
0801908067,25-29,100
0801908067,30-34,128
0801908067,35-39,128
0801908067,40-44,154
0801908067,45-49,137
0801908067,50-54,157
0801908067,55-59,126
0801908067,60-64,92
0801908067,65-69,91
0801908067,70-74,79
0801908067,75-79,80
0801908067,80-84,44
0801908067,85-89,22
0801908067,90-94,13
0801908067,95-99,4
0801908067,100,0
0801908068,0-4,89
0801908068,5-9,82
0801908068,10-14,90
0801908068,15-19,108
0801908068,20-24,97
0801908068,25-29,150
0801908068,30-34,131
0801908068,35-39,128
0801908068,40-44,139
0801908068,45-49,144
0801908068,50-54,150
0801908068,55-59,117
0801908068,60-64,83
0801908068,65-69,73
0801908068,70-74,68
0801908068,75-79,92
0801908068,80-84,58
0801908068,85-89,33
0801908068,90-94,17
0801908068,95-99,0
0801908068,100,0
0801908069,0-4,47
0801908069,5-9,75
0801908069,10-14,93
0801908069,15-19,77
0801908069,20-24,94
0801908069,25-29,118
0801908069,30-34,130
0801908069,35-39,108
0801908069,40-44,114
0801908069,45-49,132
0801908069,50-54,110
0801908069,55-59,106
0801908069,60-64,86
0801908069,65-69,82
0801908069,70-74,70
0801908069,75-79,67
0801908069,80-84,40
0801908069,85-89,28
0801908069,90-94,6
0801908069,95-99,1
0801908069,100,0
0801908070,0-4,67
0801908070,5-9,88
0801908070,10-14,77
0801908070,15-19,88
0801908070,20-24,78
0801908070,25-29,81
0801908070,30-34,110
0801908070,35-39,124
0801908070,40-44,132
0801908070,45-49,110
0801908070,50-54,102
0801908070,55-59,83
0801908070,60-64,70
0801908070,65-69,58
0801908070,70-74,56
0801908070,75-79,57
0801908070,80-84,41
0801908070,85-89,30
0801908070,90-94,8
0801908070,95-99,1
0801908070,100,1
0801908071,0-4,68
0801908071,5-9,81
0801908071,10-14,81
0801908071,15-19,91
0801908071,20-24,102
0801908071,25-29,109
0801908071,30-34,134
0801908071,35-39,103
0801908071,40-44,122
0801908071,45-49,151
0801908071,50-54,122
0801908071,55-59,121
0801908071,60-64,95
0801908071,65-69,82
0801908071,70-74,74
0801908071,75-79,77
0801908071,80-84,46
0801908071,85-89,41
0801908071,90-94,15
0801908071,95-99,2
0801908071,100,0
0801908072,0-4,42
0801908072,5-9,51
0801908072,10-14,61
0801908072,15-19,62
0801908072,20-24,66
0801908072,25-29,79
0801908072,30-34,68
0801908072,35-39,72
0801908072,40-44,77
0801908072,45-49,93
0801908072,50-54,84
0801908072,55-59,78
0801908072,60-64,67
0801908072,65-69,53
0801908072,70-74,63
0801908072,75-79,79
0801908072,80-84,46
0801908072,85-89,45
0801908072,90-94,12
0801908072,95-99,3
0801908072,100,1
0801908073,0-4,86
0801908073,5-9,84
0801908073,10-14,92
0801908073,15-19,93
0801908073,20-24,116
0801908073,25-29,173
0801908073,30-34,164
0801908073,35-39,134
0801908073,40-44,173
0801908073,45-49,139
0801908073,50-54,114
0801908073,55-59,112
0801908073,60-64,114
0801908073,65-69,91
0801908073,70-74,61
0801908073,75-79,46
0801908073,80-84,23
0801908073,85-89,35
0801908073,90-94,32
0801908073,95-99,8
0801908073,100,1
0801908074,0-4,71
0801908074,5-9,103
0801908074,10-14,75
0801908074,15-19,88
0801908074,20-24,104
0801908074,25-29,115
0801908074,30-34,119
0801908074,35-39,95
0801908074,40-44,145
0801908074,45-49,124
0801908074,50-54,117
0801908074,55-59,108
0801908074,60-64,64
0801908074,65-69,58
0801908074,70-74,67
0801908074,75-79,53
0801908074,80-84,42
0801908074,85-89,23
0801908074,90-94,11
0801908074,95-99,2
0801908074,100,0
0801908075,0-4,69
0801908075,5-9,73
0801908075,10-14,92
0801908075,15-19,101
0801908075,20-24,102
0801908075,25-29,123
0801908075,30-34,111
0801908075,35-39,122
0801908075,40-44,167
0801908075,45-49,171
0801908075,50-54,152
0801908075,55-59,135
0801908075,60-64,104
0801908075,65-69,94
0801908075,70-74,77
0801908075,75-79,84
0801908075,80-84,60
0801908075,85-89,46
0801908075,90-94,20
0801908075,95-99,4
0801908075,100,1
0801908076,0-4,49
0801908076,5-9,77
0801908076,10-14,69
0801908076,15-19,47
0801908076,20-24,74
0801908076,25-29,93
0801908076,30-34,90
0801908076,35-39,102
0801908076,40-44,126
0801908076,45-49,115
0801908076,50-54,101
0801908076,55-59,114
0801908076,60-64,88
0801908076,65-69,74
0801908076,70-74,79
0801908076,75-79,108
0801908076,80-84,87
0801908076,85-89,62
0801908076,90-94,30
0801908076,95-99,2
0801908076,100,2
0801908077,0-4,52
0801908077,5-9,61
0801908077,10-14,79
0801908077,15-19,87
0801908077,20-24,78
0801908077,25-29,87
0801908077,30-34,76
0801908077,35-39,95
0801908077,40-44,112
0801908077,45-49,102
0801908077,50-54,117
0801908077,55-59,101
0801908077,60-64,90
0801908077,65-69,88
0801908077,70-74,79
0801908077,75-79,53
0801908077,80-84,24
0801908077,85-89,20
0801908077,90-94,9
0801908077,95-99,2
0801908077,100,0
0801908078,0-4,54
0801908078,5-9,58
0801908078,10-14,74
0801908078,15-19,92
0801908078,20-24,96
0801908078,25-29,112
0801908078,30-34,126
0801908078,35-39,108
0801908078,40-44,112
0801908078,45-49,131
0801908078,50-54,118
0801908078,55-59,107
0801908078,60-64,123
0801908078,65-69,72
0801908078,70-74,52
0801908078,75-79,70
0801908078,80-84,41
0801908078,85-89,23
0801908078,90-94,18
0801908078,95-99,6
0801908078,100,0
0801908079,0-4,55
0801908079,5-9,77
0801908079,10-14,68
0801908079,15-19,71
0801908079,20-24,80
0801908079,25-29,108
0801908079,30-34,100
0801908079,35-39,109
0801908079,40-44,108
0801908079,45-49,134
0801908079,50-54,111
0801908079,55-59,100
0801908079,60-64,64
0801908079,65-69,54
0801908079,70-74,33
0801908079,75-79,54
0801908079,80-84,39
0801908079,85-89,43
0801908079,90-94,23
0801908079,95-99,4
0801908079,100,0
0801908080,0-4,52
0801908080,5-9,69
0801908080,10-14,79
0801908080,15-19,69
0801908080,20-24,106
0801908080,25-29,83
0801908080,30-34,110
0801908080,35-39,100
0801908080,40-44,111
0801908080,45-49,133
0801908080,50-54,127
0801908080,55-59,98
0801908080,60-64,69
0801908080,65-69,71
0801908080,70-74,66
0801908080,75-79,77
0801908080,80-84,49
0801908080,85-89,48
0801908080,90-94,15
0801908080,95-99,5
0801908080,100,0
0801908081,0-4,77
0801908081,5-9,87
0801908081,10-14,102
0801908081,15-19,97
0801908081,20-24,95
0801908081,25-29,110
0801908081,30-34,105
0801908081,35-39,141
0801908081,40-44,153
0801908081,45-49,141
0801908081,50-54,134
0801908081,55-59,109
0801908081,60-64,76
0801908081,65-69,57
0801908081,70-74,54
0801908081,75-79,44
0801908081,80-84,33
0801908081,85-89,47
0801908081,90-94,15
0801908081,95-99,2
0801908081,100,0
0801908082,0-4,44
0801908082,5-9,68
0801908082,10-14,73
0801908082,15-19,61
0801908082,20-24,84
0801908082,25-29,135
0801908082,30-34,127
0801908082,35-39,106
0801908082,40-44,110
0801908082,45-49,131
0801908082,50-54,120
0801908082,55-59,107
0801908082,60-64,98
0801908082,65-69,58
0801908082,70-74,69
0801908082,75-79,73
0801908082,80-84,76
0801908082,85-89,50
0801908082,90-94,21
0801908082,95-99,4
0801908082,100,1
0801908083,0-4,55
0801908083,5-9,50
0801908083,10-14,57
0801908083,15-19,61
0801908083,20-24,71
0801908083,25-29,76
0801908083,30-34,94
0801908083,35-39,101
0801908083,40-44,97
0801908083,45-49,103
0801908083,50-54,77
0801908083,55-59,74
0801908083,60-64,68
0801908083,65-69,58
0801908083,70-74,54
0801908083,75-79,65
0801908083,80-84,50
0801908083,85-89,24
0801908083,90-94,13
0801908083,95-99,2
0801908083,100,0
0801908084,0-4,37
0801908084,5-9,43
0801908084,10-14,52
0801908084,15-19,49
0801908084,20-24,49
0801908084,25-29,59
0801908084,30-34,64
0801908084,35-39,70
0801908084,40-44,80
0801908084,45-49,83
0801908084,50-54,82
0801908084,55-59,85
0801908084,60-64,60
0801908084,65-69,62
0801908084,70-74,49
0801908084,75-79,66
0801908084,80-84,63
0801908084,85-89,42
0801908084,90-94,10
0801908084,95-99,7
0801908084,100,0
0801908085,0-4,52
0801908085,5-9,65
0801908085,10-14,67
0801908085,15-19,77
0801908085,20-24,109
0801908085,25-29,126
0801908085,30-34,118
0801908085,35-39,102
0801908085,40-44,119
0801908085,45-49,123
0801908085,50-54,113
0801908085,55-59,115
0801908085,60-64,89
0801908085,65-69,62
0801908085,70-74,49
0801908085,75-79,59
0801908085,80-84,48
0801908085,85-89,33
0801908085,90-94,15
0801908085,95-99,2
0801908085,100,0
0801908086,0-4,53
0801908086,5-9,75
0801908086,10-14,71
0801908086,15-19,77
0801908086,20-24,97
0801908086,25-29,96
0801908086,30-34,112
0801908086,35-39,93
0801908086,40-44,150
0801908086,45-49,158
0801908086,50-54,127
0801908086,55-59,94
0801908086,60-64,89
0801908086,65-69,66
0801908086,70-74,75
0801908086,75-79,109
0801908086,80-84,75
0801908086,85-89,36
0801908086,90-94,22
0801908086,95-99,5
0801908086,100,0
0801908087,0-4,26
0801908087,5-9,46
0801908087,10-14,72
0801908087,15-19,64
0801908087,20-24,49
0801908087,25-29,61
0801908087,30-34,68
0801908087,35-39,84
0801908087,40-44,91
0801908087,45-49,119
0801908087,50-54,90
0801908087,55-59,67
0801908087,60-64,67
0801908087,65-69,79
0801908087,70-74,62
0801908087,75-79,43
0801908087,80-84,45
0801908087,85-89,39
0801908087,90-94,20
0801908087,95-99,0
0801908087,100,0
0801908088,0-4,50
0801908088,5-9,52
0801908088,10-14,64
0801908088,15-19,59
0801908088,20-24,71
0801908088,25-29,80
0801908088,30-34,68
0801908088,35-39,104
0801908088,40-44,86
0801908088,45-49,116
0801908088,50-54,102
0801908088,55-59,84
0801908088,60-64,63
0801908088,65-69,52
0801908088,70-74,65
0801908088,75-79,71
0801908088,80-84,45
0801908088,85-89,35
0801908088,90-94,12
0801908088,95-99,2
0801908088,100,2
0801908089,0-4,41
0801908089,5-9,38
0801908089,10-14,56
0801908089,15-19,55
0801908089,20-24,57
0801908089,25-29,78
0801908089,30-34,81
0801908089,35-39,95
0801908089,40-44,87
0801908089,45-49,99
0801908089,50-54,91
0801908089,55-59,87
0801908089,60-64,71
0801908089,65-69,56
0801908089,70-74,34
0801908089,75-79,67
0801908089,80-84,56
0801908089,85-89,40
0801908089,90-94,12
0801908089,95-99,3
0801908089,100,0
0801908090,0-4,29
0801908090,5-9,51
0801908090,10-14,61
0801908090,15-19,53
0801908090,20-24,59
0801908090,25-29,72
0801908090,30-34,85
0801908090,35-39,73
0801908090,40-44,92
0801908090,45-49,121
0801908090,50-54,70
0801908090,55-59,81
0801908090,60-64,51
0801908090,65-69,52
0801908090,70-74,65
0801908090,75-79,74
0801908090,80-84,49
0801908090,85-89,38
0801908090,90-94,21
0801908090,95-99,2
0801908090,100,0
0801908091,0-4,31
0801908091,5-9,27
0801908091,10-14,44
0801908091,15-19,52
0801908091,20-24,74
0801908091,25-29,69
0801908091,30-34,71
0801908091,35-39,83
0801908091,40-44,85
0801908091,45-49,96
0801908091,50-54,105
0801908091,55-59,79
0801908091,60-64,63
0801908091,65-69,52
0801908091,70-74,67
0801908091,75-79,101
0801908091,80-84,52
0801908091,85-89,35
0801908091,90-94,11
0801908091,95-99,5
0801908091,100,0
0801908092,0-4,21
0801908092,5-9,35
0801908092,10-14,42
0801908092,15-19,43
0801908092,20-24,44
0801908092,25-29,49
0801908092,30-34,50
0801908092,35-39,56
0801908092,40-44,56
0801908092,45-49,69
0801908092,50-54,68
0801908092,55-59,75
0801908092,60-64,63
0801908092,65-69,71
0801908092,70-74,88
0801908092,75-79,65
0801908092,80-84,48
0801908092,85-89,37
0801908092,90-94,12
0801908092,95-99,4
0801908092,100,1
0801908093,0-4,46
0801908093,5-9,60
0801908093,10-14,58
0801908093,15-19,69
0801908093,20-24,63
0801908093,25-29,57
0801908093,30-34,79
0801908093,35-39,79
0801908093,40-44,106
0801908093,45-49,111
0801908093,50-54,93
0801908093,55-59,84
0801908093,60-64,82
0801908093,65-69,64
0801908093,70-74,57
0801908093,75-79,52
0801908093,80-84,54
0801908093,85-89,59
0801908093,90-94,20
0801908093,95-99,4
0801908093,100,0
0801908094,0-4,28
0801908094,5-9,46
0801908094,10-14,43
0801908094,15-19,61
0801908094,20-24,60
0801908094,25-29,70
0801908094,30-34,69
0801908094,35-39,63
0801908094,40-44,92
0801908094,45-49,93
0801908094,50-54,115
0801908094,55-59,94
0801908094,60-64,76
0801908094,65-69,103
0801908094,70-74,121
0801908094,75-79,123
0801908094,80-84,80
0801908094,85-89,58
0801908094,90-94,21
0801908094,95-99,4
0801908094,100,0
0801908095,0-4,33
0801908095,5-9,41
0801908095,10-14,39
0801908095,15-19,60
0801908095,20-24,60
0801908095,25-29,45
0801908095,30-34,67
0801908095,35-39,62
0801908095,40-44,67
0801908095,45-49,87
0801908095,50-54,84
0801908095,55-59,74
0801908095,60-64,62
0801908095,65-69,36
0801908095,70-74,54
0801908095,75-79,81
0801908095,80-84,59
0801908095,85-89,37
0801908095,90-94,18
0801908095,95-99,11
0801908095,100,1
0801908096,0-4,50
0801908096,5-9,78
0801908096,10-14,63
0801908096,15-19,76
0801908096,20-24,88
0801908096,25-29,81
0801908096,30-34,96
0801908096,35-39,101
0801908096,40-44,137
0801908096,45-49,123
0801908096,50-54,117
0801908096,55-59,118
0801908096,60-64,92
0801908096,65-69,68
0801908096,70-74,60
0801908096,75-79,84
0801908096,80-84,49
0801908096,85-89,26
0801908096,90-94,17
0801908096,95-99,2
0801908096,100,0
0801908097,0-4,51
0801908097,5-9,47
0801908097,10-14,67
0801908097,15-19,65
0801908097,20-24,83
0801908097,25-29,81
0801908097,30-34,77
0801908097,35-39,80
0801908097,40-44,77
0801908097,45-49,94
0801908097,50-54,97
0801908097,55-59,106
0801908097,60-64,90
0801908097,65-69,62
0801908097,70-74,48
0801908097,75-79,62
0801908097,80-84,49
0801908097,85-89,38
0801908097,90-94,16
0801908097,95-99,1
0801908097,100,0
0801908098,0-4,44
0801908098,5-9,54
0801908098,10-14,52
0801908098,15-19,63
0801908098,20-24,81
0801908098,25-29,64
0801908098,30-34,86
0801908098,35-39,81
0801908098,40-44,88
0801908098,45-49,109
0801908098,50-54,93
0801908098,55-59,106
0801908098,60-64,76
0801908098,65-69,57
0801908098,70-74,37
0801908098,75-79,51
0801908098,80-84,43
0801908098,85-89,50
0801908098,90-94,19
0801908098,95-99,7
0801908098,100,2
0801908099,0-4,53
0801908099,5-9,68
0801908099,10-14,74
0801908099,15-19,67
0801908099,20-24,83
0801908099,25-29,116
0801908099,30-34,115
0801908099,35-39,85
0801908099,40-44,117
0801908099,45-49,130
0801908099,50-54,110
0801908099,55-59,95
0801908099,60-64,82
0801908099,65-69,51
0801908099,70-74,61
0801908099,75-79,51
0801908099,80-84,46
0801908099,85-89,29
0801908099,90-94,9
0801908099,95-99,1
0801908099,100,0
0801908100,0-4,46
0801908100,5-9,51
0801908100,10-14,71
0801908100,15-19,53
0801908100,20-24,76
0801908100,25-29,80
0801908100,30-34,74
0801908100,35-39,76
0801908100,40-44,102
0801908100,45-49,126
0801908100,50-54,96
0801908100,55-59,99
0801908100,60-64,70
0801908100,65-69,55
0801908100,70-74,55
0801908100,75-79,63
0801908100,80-84,55
0801908100,85-89,37
0801908100,90-94,18
0801908100,95-99,3
0801908100,100,0
0801908101,0-4,52
0801908101,5-9,74
0801908101,10-14,79
0801908101,15-19,68
0801908101,20-24,86
0801908101,25-29,76
0801908101,30-34,94
0801908101,35-39,92
0801908101,40-44,122
0801908101,45-49,125
0801908101,50-54,124
0801908101,55-59,108
0801908101,60-64,112
0801908101,65-69,119
0801908101,70-74,99
0801908101,75-79,108
0801908101,80-84,71
0801908101,85-89,61
0801908101,90-94,22
0801908101,95-99,9
0801908101,100,1
0801908102,0-4,51
0801908102,5-9,58
0801908102,10-14,69
0801908102,15-19,69
0801908102,20-24,90
0801908102,25-29,86
0801908102,30-34,105
0801908102,35-39,105
0801908102,40-44,103
0801908102,45-49,132
0801908102,50-54,104
0801908102,55-59,112
0801908102,60-64,63
0801908102,65-69,43
0801908102,70-74,67
0801908102,75-79,97
0801908102,80-84,87
0801908102,85-89,64
0801908102,90-94,34
0801908102,95-99,8
0801908102,100,2
0801908103,0-4,72
0801908103,5-9,78
0801908103,10-14,90
0801908103,15-19,89
0801908103,20-24,103
0801908103,25-29,120
0801908103,30-34,150
0801908103,35-39,124
0801908103,40-44,156
0801908103,45-49,126
0801908103,50-54,117
0801908103,55-59,116
0801908103,60-64,91
0801908103,65-69,85
0801908103,70-74,44
0801908103,75-79,42
0801908103,80-84,24
0801908103,85-89,22
0801908103,90-94,25
0801908103,95-99,2
0801908103,100,0
0801908104,0-4,59
0801908104,5-9,64
0801908104,10-14,49
0801908104,15-19,63
0801908104,20-24,67
0801908104,25-29,103
0801908104,30-34,96
0801908104,35-39,99
0801908104,40-44,104
0801908104,45-49,85
0801908104,50-54,87
0801908104,55-59,76
0801908104,60-64,98
0801908104,65-69,67
0801908104,70-74,52
0801908104,75-79,32
0801908104,80-84,20
0801908104,85-89,36
0801908104,90-94,27
0801908104,95-99,4
0801908104,100,1
0801908105,0-4,45
0801908105,5-9,61
0801908105,10-14,62
0801908105,15-19,93
0801908105,20-24,69
0801908105,25-29,104
0801908105,30-34,84
0801908105,35-39,79
0801908105,40-44,103
0801908105,45-49,119
0801908105,50-54,102
0801908105,55-59,127
0801908105,60-64,92
0801908105,65-69,64
0801908105,70-74,53
0801908105,75-79,57
0801908105,80-84,41
0801908105,85-89,42
0801908105,90-94,20
0801908105,95-99,6
0801908105,100,0
0801908106,0-4,60
0801908106,5-9,64
0801908106,10-14,69
0801908106,15-19,72
0801908106,20-24,75
